kanji,meanings,kun,on,level
締,"tighten,tie,shut,lock,fasten","し.まる,し.まり,し.める,-し.め,-じ.め",テイ,n1
救,"salvation,save,help,rescue,reclaim",すく.う,キュウ,n1
執,"tenacious,take hold,grasp,take to heart",と.る,"シツ,シュウ",n1
奏,"play music,speak to a ruler,complete",かな.でる,ソウ,n1
郷,"home town,village,native place,district",さと,"キョウ,ゴウ",n1
房,"tassel,tuft,fringe,bunch,lock (hair),segment (orange),house,room",ふさ,ボウ,n1
撤,"remove,withdraw,disarm,dismantle,reject,exclude",ふさ,テツ,n1
削,"plane,sharpen,whittle,pare,shave","けず.る,はつ.る,そ.ぐ",サク,n1
措,"set aside,give up,suspend,discontinue,lay aside,except",お.く,ソ,n1
環,"ring,circle,link,wheel",わ,カン,n1
己,self,"おのれ,つちのと,な","コ,キ",n1
載,"ride,board,get on,place,spread,10**44,record,publish","の.せる,の.る",サイ,n1
陣,"camp,battle array,ranks,position,sudden,brief time","の.せる,の.る",ジン,n1
為,"do,change,make,benefit,welfare,be of use,reach to,try,practice,cost,serve as,good,advantage,as a result of","ため,な.る,な.す,す.る,たり,つく.る,なり",イ,n1
抑,"repress,well,now,in the first place,push,shove,press,seal,do in spite of",おさ.える,ヨク,n1
忠,"loyalty,fidelity,faithfulness",おさ.える,チュウ,n1
墓,"grave,tomb",はか,ボ,n1
沿,"run alongside,follow along,run along,lie along","そ.う,-ぞ.い",エン,n1
芽,"bud,sprout,spear,germ",め,ガ,n1
誠,"sincerity,admonish,warn,prohibit,truth,fidelity",まこと,セイ,n1
択,"choose,select,elect,prefer",えら.ぶ,タク,n1
秀,"excel,excellence,beauty,surpass",ひい.でる,シュウ,n1
徴,"indications,sign,omen,symptom,collect,seek,refer to,question",しるし,"チョウ,チ",n1
批,"criticism,strike",しるし,ヒ,n1
俳,"haiku,actor",しるし,ハイ,n1
弾,"bullet,twang,flip,snap","ひ.く,-ひ.き,はず.む,たま,はじ.く,はじ.ける,ただ.す,はじ.きゆみ","ダン,タン",n1
償,"reparation,make up for,recompense,redeem",つぐな.う,ショウ,n1
拠,"foothold,based on,follow,therefore",よ.る,"キョ,コ",n1
拒,"repel,refuse,reject,decline",こば.む,"キョ,ゴ",n1
刑,"punish,penalty,sentence,punishment",こば.む,ケイ,n1
媛,"beautiful woman,princess",ひめ,エン,n1
塚,"hillock,mound","つか,-づか",チョウ,n1
致,"doth,do,send,forward,cause,exert,incur,engage",いた.す,チ,n1
飼,"domesticate,raise,keep,feed",か.う,シ,n1
繰,"winding,reel,spin,turn (pages),look up,refer to",く.る,ソウ,n1
聖,"holy,saint,sage,master,priest",ひじり,"セイ,ショウ",n1
尾,"tail,end,counter for fish,lower slope of mountain",お,ビ,n1
描,"sketch,compose,write,draw,paint","えが.く,か.く",ビョウ,n1
鈴,"small bell,buzzer",すず,"レイ,リン",n1
盤,"tray,shallow bowl,platter,tub,board,phonograph record",すず,バン,n1
項,"paragraph,nape of neck,clause,item,term (expression)",うなじ,コウ,n1
喪,"miss,mourning",も,ソウ,n1
伴,"consort,accompany,bring with,companion",ともな.う,"ハン,バン",n1
恩,"grace,kindness,goodness,favor,mercy,blessing,benefit",ともな.う,オン,n1
往,"journey,travel,chase away,let go,going,before,formerly","い.く,いにしえ,さき.に,ゆ.く",オウ,n1
懸,"state of suspension,hang,depend,consult,distant,far apart","か.ける,か.かる","ケン,ケ",n1
契,"pledge,promise,vow",ちぎ.る,ケイ,n1
掲,"put up (a notice),put up,hoist,display,hang out,publish,describe",かか.げる,ケイ,n1
躍,"leap,dance,skip",おど.る,ヤク,n1
棄,"abandon,throw away,discard,resign,reject,sacrifice",す.てる,キ,n1
腸,"intestines,guts,bowels,viscera","はらわた,わた",チョウ,n1
邸,"residence,mansion",やしき,テイ,n1
還,"send back,return",かえ.る,カン,n1
慮,"prudence,thought,concern,consider,deliberate,fear","おもんぱく.る,おもんぱか.る",リョ,n1
