kanji,meanings,kun,on,level
慈,mercy,いつく.しむ,ジ,n1
伐,"fell,strike,attack,punish","き.る,そむ.く,う.つ","バツ,ハツ,カ,ボチ",n1
漬,"pickling,soak,moisten,steep","つ.ける,つ.かる,-づ.け,-づけ",シ,n1
糾,"twist,ask,investigate,verify",ただ.す,キュウ,n1
墳,"tomb,mound",ただ.す,フン,n1
坪,"two-mat area,approx. thirty-six sq ft",つぼ,ヘイ,n1
紺,"dark blue,navy",つぼ,コン,n1
娯,"recreation,pleasure",つぼ,ゴ,n1
羅,"gauze,thin silk,Rome,arrange,spread out",うすもの,ラ,n1
淳,pure,あつ.い,"ジュン,シュン",n1
峡,"gorge,ravine",はざま,"キョウ,コウ",n1
俸,"stipend,salary",はざま,ホウ,n1
厘,"rin,1/10 sen,1/10 bu",はざま,リン,n1
峰,"summit,peak","みね,ね",ホウ,n1
醸,"brew,cause",かも.す,ジョウ,n1
弔,"condolences,mourning,funeral","とむら.う,とぶら.う",チョウ,n1
乙,"the latter,duplicate,strange,witty,fishhook radical (no. 5)","おと-,きのと","オツ,イツ",n1
鳩,"pigeon,dove","はと,あつ.める","キュウ,ク",n1
汁,"soup,juice,broth,sap,gravy,pus","しる,-しる,つゆ",ジュウ,n1
尼,nun,あま,ニ,n1
遍,"everywhere,times,widely,generally",あまね.く,ヘン,n1
衡,"equilibrium,measuring rod,scale",あまね.く,コウ,n1
薫,"send forth fragrance,fragrant,be scented,smoke (tobacco)",かお.る,クン,n1
恵,"favor,blessing,grace,kindness","めぐ.む,めぐ.み","ケイ,エ",n1
猟,"game-hunting,shooting,game,bag","かり,か.る",リョウ,n1
款,"goodwill,article,section,friendship,collusion","かり,か.る",カン,n1
閲,"review,inspection,revision",けみ.する,エツ,n1
偵,spy,けみ.する,テイ,n1
桂,"Japanese Judas-tree,cinnamon tree",かつら,ケイ,n1
喝,"hoarse,scold",かつら,カツ,n1
敢,"daring,brave,bold,sad,tragic,pitiful","あ.えて,あ.えない,あ.えず",カン,n1
胎,"womb,uterus","あ.えて,あ.えない,あ.えず",タイ,n1
晋,advance,すす.む,シン,n1
酵,fermentation,すす.む,コウ,n1
憤,"aroused,resent,be indignant,anger",いきどお.る,フン,n1
豚,"pork,pig",ぶた,トン,n1
遮,"intercept,interrupt,obstruct",さえぎ.る,シャ,n1
扉,"front door,title page,front page",とびら,ヒ,n1
硫,sulphur,とびら,リュウ,n1
赦,"pardon,forgiveness",とびら,シャ,n1
窃,"stealth,steal,secret,private,hushed","ぬす.む,ひそ.か",セツ,n1
泡,"bubbles,foam,suds,froth",あわ,ホウ,n1
又,"or again,furthermore,on the other hand","また,また-,また.の-",ユウ,n1
晃,clear,あきらか,コウ,n1
慨,"rue,be sad,sigh,lament",あきらか,ガイ,n1
紡,spinning,つむ.ぐ,ボウ,n1
桐,paulownia,きり,"トウ,ドウ",n1
恨,"regret,bear a grudge,resentment,malice,hatred","うら.む,うら.めしい",コン,n1
肪,"obese,fat","うら.む,うら.めしい",ボウ,n1
扶,"aid,help,assist",たす.ける,フ,n1
戯,"frolic,play,sport","たわむ.れる,ざ.れる,じゃ.れる","ギ,ゲ",n1
忌,"mourning,abhor,detestable,death anniversary","い.む,い.み,い.まわしい",キ,n1
濁,"voiced,uncleanness,wrong,nigori,impurity","にご.る,にご.す","ダク,ジョク",n1
奔,"run,bustle",はし.る,ホン,n1
斗,"Big Dipper,ten sho (vol),sake dipper,dots and cross radical (no. 68)",はし.る,"ト,トウ",n1
鷹,hawk,たか,"ヨウ,オウ",n1
迅,"swift,fast",たか,ジン,n1
肖,resemblance,あやか.る,ショウ,n1
鉢,"bowl,rice tub,pot,crown",あやか.る,"ハチ,ハツ",n1
朽,"decay,rot,remain in seclusion",く.ちる,キュウ,n1
殻,"husk,nut shell","から,がら","カク,コク,バイ",n1
享,"enjoy,receive,undergo,answer (phone),take,get,catch",う.ける,"キョウ,コウ",n1
猪,boar,"い,いのしし",チョ,n1
紘,large,"おおづな,つな,つなぐ",コウ,n1
藩,"clan,enclosure","おおづな,つな,つなぐ",ハン,n1
沙,sand,"すな,よなげる","サ,シャ",n1
媒,"mediator,go-between",なこうど,バイ,n1
鶏,chicken,"にわとり,とり",ケイ,n1
禅,"Zen,silent meditation","しずか,ゆず.る","ゼン,セン",n1
嘱,"entrust,request,send a message","しょく.する,たの.む",ショク,n1
胴,"trunk,torso,hull (ship),hub of wheel","しょく.する,たの.む",ドウ,n1
庄,"level,in the country,manor,village,hamlet","しょく.する,たの.む","ショウ,ソ,ソウ,ホウ",n1
敦,"industry,kindliness",あつ.い,"トン,タイ,ダン,チョウ",n1
迭,"transfer,alternation",あつ.い,テツ,n1
挿,"insert,put in,graft,wear (sword)","さ.す,はさ.む",ソウ,n1
嵐,"storm,tempest",あらし,ラン,n1
椎,"chinquapin,mallet,spine","つち,う.つ","ツイ,スイ",n1
陪,"obeisance,follow,accompany,attend on","つち,う.つ",バイ,n1
剖,divide,"つち,う.つ",ボウ,n1
譜,"musical score,music,note,staff,table,genealogy","つち,う.つ",フ,n1
祐,help,たす.ける,"ユウ,ウ",n1
鵬,phoenix,おおとり,ホウ,n1
悠,"permanence,distant,long time,leisure",おおとり,ユウ,n1
淑,"graceful,gentle,pure",しと.やか,シュク,n1
帆,sail,ほ,ハン,n1
暁,"daybreak,dawn,in the event","あかつき,さと.る","ギョウ,キョウ",n1
傑,"greatness,excellence",すぐ.れる,ケツ,n1
奴,"guy,slave,manservant,fellow","やつ,やっこ",ド,n1
錠,"lock,fetters,shackles","やつ,やっこ",ジョウ,n1
拳,fist,こぶし,"ケン,ゲン",n1
遷,"transition,move,change","うつ.る,うつ.す,みやこがえ",セン,n1
拙,"bungling,clumsy,unskillful",つたな.い,セツ,n1
侍,"waiter,samurai,wait upon,serve","さむらい,はべ.る","ジ,シ",n1
峠,"mountain peak,mountain pass,climax,crest,(kokuji)",とうげ,"ジ,シ",n1
篤,"fervent,kind,cordial,serious,deliberate",あつ.い,トク,n1
亘,"span,range,extend over","わた.る,もと.める","コウ,カン,セン",n1
渇,"thirst,dry up,parch",かわ.く,カツ,n1
叔,"uncle,youth",かわ.く,シュク,n1
雌,"feminine,female","め-,めす,めん",シ,n1
堪,"withstand,endure,support,resist","た.える,たま.る,こら.える,こた.える","カン,タン",n1
叙,"confer,relate,narrate,describe","つい.ず,ついで",ジョ,n1
酢,"vinegar,sour,acid,tart",す,サク,n1
吟,"versify,singing,recital",す,ギン,n1
逓,"relay,in turn,sending","かわ.る,たがいに",テイ,n1
笹,"bamboo grass,(kokuji)",ささ,テイ,n1
甚,"tremendously,very,great,exceedingly","はなは.だ,はなは.だしい",ジン,n1
崇,"adore,respect,revere,worship",あが.める,スウ,n1
漆,"lacquer,varnish,seven",うるし,シツ,n1
岬,"headland,cape,spit,promontory",みさき,コウ,n1
癖,"mannerism,habit,vice,trait,fault,kink","くせ,くせ.に",ヘキ,n1
愉,"pleasure,happy,rejoice","たの.しい,たの.しむ",ユ,n1
礁,"reef,sunken rock","たの.しい,たの.しむ",ショウ,n1
綾,"design,figured cloth,twill",あや,リン,n1
屯,"barracks,police station,camp,ton",たむろ,トン,n1
姻,"matrimony,marry",たむろ,イン,n1
擬,"mimic,aim (a gun) at,nominate,imitate","まが.い,もど.き",ギ,n1
塀,"fence,wall,(kokuji)","まが.い,もど.き","ヘイ,ベイ",n1
毅,strong,つよ.い,"キ,ギ",n1
唇,lips,くちびる,シン,n1
睦,"intimate,friendly,harmonious","むつ.まじい,むつ.む,むつ.ぶ","ボク,モク",n1
閑,leisure,"むつ.まじい,むつ.む,むつ.ぶ",カン,n1
幽,"seclude,confine to a room,deep,profound,secluded,faint,dark,tranquil,calm","ふか.い,かす.か,くら.い,しろ.い",ユウ,n1
稔,"harvest,ripen","みの.る,みのり","ネン,ジン,ニン",n1
曹,"office,official,comrade,fellow","みの.る,みのり","ソウ,ゾウ",n1
詠,"recitation,poem,song,composing","よ.む,うた.う",エイ,n1
卑,"lowly,base,vile,vulgar","いや.しい,いや.しむ,いや.しめる",ヒ,n1
侮,"scorn,despise,make light of,contempt","あなど.る,あなず.る",ブ,n1
鋳,"casting,mint",い.る,"チュウ,イ,シュ,シュウ",n1
抹,"rub,paint,erase",い.る,マツ,n1
尉,"military officer,jailer,old man,rank",い.る,"イ,ジョウ",n1
隷,"slave,servant,prisoner,criminal,follower","したが.う,しもべ",レイ,n1
禍,"calamity,misfortune,evil,curse",わざわい,カ,n1
酪,"dairy products,whey,broth,fruit juice",わざわい,ラク,n1
茎,"stalk,stem",くき,"ケイ,キョウ",n1
帥,"commander,leading troops,governor",くき,スイ,n1
逝,"departed,die","ゆ.く,い.く",セイ,n1
匿,"hide,shelter,shield",かくま.う,トク,n1
襟,"collar,neck,lapel,one's inner feelings",えり,キン,n1
蛍,"lightning-bug,firefly",ほたる,ケイ,n1
寡,"widow,minority,few",ほたる,カ,n1
痢,diarrhea,ほたる,リ,n1
庸,"commonplace,ordinary,employment",ほたる,ヨウ,n1
坑,"pit,hole",ほたる,コウ,n1
楊,willow,やなぎ,ヨウ,n1
藍,indigo,あい,ラン,n1
駿,"a good horse,speed,a fast person",すぐ.れる,"シュン,スン",n1
賊,"burglar,rebel,traitor,robber",すぐ.れる,ゾク,n1
搾,squeeze,しぼ.る,サク,n1
亮,"clear,help",あきらか,リョウ,n1
畔,"paddy ridge,levee","あぜ,くろ,ほとり",ハン,n1
唄,"song,ballad","うた,うた.う",バイ,n1
孔,"cavity,hole,slit,very,great,exceedingly",あな,"コウ,ク",n1
呂,"spine,backbone",せぼね,"ロ,リョ",n1
暖,warmth,"あたた.か,あたた.かい,あたた.まる,あたた.める","ダン,ノン",n1
拷,"torture,beat","あたた.か,あたた.かい,あたた.まる,あたた.める",ゴウ,n1
椿,camellia,つばき,"チン,チュン",n1
嬢,"lass,girl,Miss,daughter",むすめ,ジョウ,n1
渓,"mountain stream,valley","たに,たにがわ",ケイ,n1
翁,venerable old man,おきな,オウ,n1
廉,"bargain,reason,charge,suspicion,point,account,purity,honest,low price,cheap,rested,contented,peaceful",おきな,レン,n1
圭,"square jewel,corner,angle,edge",おきな,"ケイ,ケ",n1
謹,"discreet,reverently,humbly",つつし.む,キン,n1
蓮,lotus,"はす,はちす",レン,n1
瞳,pupil (of eye),ひとみ,"ドウ,トウ",n1
湧,"boil,ferment,seethe,uproar,breed",わ.く,"ユウ,ヨウ,ユ",n1
窯,"kiln,oven,furnace",かま,ヨウ,n1
褒,"praise,extol",ほ.める,ホウ,n1
醜,"ugly,unclean,shame,bad looking","みにく.い,しこ",シュウ,n1
壁,"wall,lining (stomach),fence",かべ,ヘキ,n1
升,"measuring box,1.8 liter",ます,ショウ,n1
殉,"martyrdom,follow by resigning",ます,ジュン,n1
煩,"anxiety,trouble,worry,pain,ill,annoy,nuisance,irksome","わずら.う,わずら.わす,うるさ.がる,うるさ.い","ハン,ボン",n1
劾,"censure,criminal investigation","わずら.う,わずら.わす,うるさ.がる,うるさ.い",ガイ,n1
堕,"degenerate,descend to,lapse into","お.ちる,くず.す,くず.れる",ダ,n1
租,"tariff,crop tax,borrowing","お.ちる,くず.す,くず.れる",ソ,n1
桟,"scaffold,cleat,frame,jetty,bolt (door)",かけはし,"サン,セン",n1
婿,"bridegroom,son-in-law",むこ,セイ,n1
慕,"pining,yearn for,love dearly,adore",した.う,ボ,n1
罷,"quit,stop,leave,withdraw,go","まか.り-,や.める",ヒ,n1
矯,"rectify,straighten,correct,reform,cure,control,pretend,falsify",た.める,キョウ,n1
某,"so-and-so,one,a certain,that person","それがし,なにがし",ボウ,n1
囚,"captured,criminal,arrest,catch",とら.われる,シュウ,n1
瑞,congratulations,"みず-,しるし","ズイ,スイ",n1
虹,rainbow,にじ,コウ,n1
泌,"ooze,flow,soak in,penetrate,secrete",にじ,"ヒツ,ヒ",n1
漸,"steadily,gradually advancing,finally,barely","ようや.く,やや,ようよ.う,すす.む",ゼン,n1
伍,"five,five-man squad,file,line",いつつ,ゴ,n1
蚊,mosquito,か,ブン,n1
蘭,"orchid,Holland",か,"ラン,ラ",n1
厄,"unlucky,misfortune,bad luck,disaster",か,ヤク,n1
藻,"seaweed,duckweed",も,ソウ,n1
嫡,"legitimate wife,direct descent (non-bastard)",も,"チャク,テキ",n1
秦,"Manchu dynasty,name given to naturalized foreigners",はた,シン,n1
茅,miscanthus reed,"かや,ちがや","ボウ,ミョウ",n1
輔,help,たす.ける,"ホ,フ",n1
嚇,"menacing,dignity,majesty,threaten",おど.す,カク,n1
凸,"convex,beetle brow,uneven",でこ,トツ,n1
韻,"rhyme,elegance,tone",でこ,イン,n1
霜,frost,しも,ソウ,n1
硝,"nitrate,saltpeter",しも,ショウ,n1
勅,imperial order,"いまし.める,みことのり",チョク,n1
郁,"cultural progress,perfume","いまし.める,みことのり",イク,n1
棺,"coffin,casket","いまし.める,みことのり",カン,n1
儒,Confucian,"いまし.める,みことのり",ジュ,n1
楠,camphor tree,"くす,くすのき","ナン,ダン,ゼン,ネン",n1
愁,"distress,grieve,lament,be anxious","うれ.える,うれ.い",シュウ,n1
玲,sound of jewels,"うれ.える,うれ.い",レイ,n1
楼,"watchtower,lookout,high building",たかどの,ロウ,n1
眉,eyebrow,まゆ,"ビ,ミ",n1
翔,"soar,fly","かけ.る,と.ぶ",ショウ,n1
薪,"fuel,firewood,kindling","たきぎ,まき",シン,n1
肇,beginning,"はじ.める,はじめ","チョウ,ジョウ,トウ",n1
褐,"brown,woollen kimono","はじ.める,はじめ",カツ,n1
賜,"grant,gift,boon,results","たまわ.る,たま.う,たも.う",シ,n1
繕,"darning,repair,mend,trim,tidy up,adjust",つくろ.う,ゼン,n1
亨,"pass through,go smoothly",とお.る,"コウ,キョウ,ホウ",n1
栓,"plug,bolt,cork,bung,stopper",とお.る,セン,n1
嶺,"peak,summit",みね,"レイ,リョウ",n1
凹,"concave,hollow,sunken","くぼ.む,へこ.む,ぼこ",オウ,n1
艶,"glossy,luster,glaze,polish,charm,colorful,captivating","つや,なま.めかしい,あで.やか,つや.めく,なま.めく",エン,n1
喬,"high,boasting",たか.い,キョウ,n1
錬,"tempering,refine,drill,train,polish",ね.る,レン,n1
寅,"sign of the tiger,3-5AM,third sign of Chinese zodiac",とら,イン,n1
乃,"from,possessive particle,whereupon,accordingly","の,すなわ.ち,なんじ","ナイ,ダイ,ノ,アイ",n1
洲,"continent,sandbar,island,country",しま,"シュウ,ス",n1
衷,"inmost,heart,mind,inside",しま,チュウ,n1
樺,"birch,dark red","かば,かんば",カ,n1
逐,"pursue,drive away,chase,accomplish,attain,commit","かば,かんば",チク,n1
槙,"twig,ornamental evergreen","まき,こずえ","テン,シン",n1
斥,"reject,retreat,recede,withdraw,repel,repulse",しりぞ.ける,セキ,n1
巌,"rock,crag,boulder","いわ,いわお,けわ.しい",ガン,n1
詔,imperial edict,みことのり,ショウ,n1
胡,"barbarian,foreign",なんぞ,"ウ,コ,ゴ",n1
峻,"high,steep","けわ.しい,たか.い",シュン,n1
槻,Zelkova tree,つき,キ,n1
憧,"yearn after,long for,aspire to,admire,adore",あこが.れる,"ショウ,トウ,ドウ",n1
宵,"wee hours,evening,early night",よい,ショウ,n1
蝶,butterfly,よい,チョウ,n1
妄,"delusion,unnecessarily,without authority,reckless",みだ.りに,"モウ,ボウ",n1
酌,"bar-tending,serving sake,the host,draw (water),ladle,scoop,pump",く.む,シャク,n1
琢,polish,みが.く,タク,n1
頒,"distribute,disseminate,partition,understand","わ.かつ,わ.ける",ハン,n1
蕉,"banana,plantain","わ.かつ,わ.ける",ショウ,n1
肢,"limb,arms & legs","わ.かつ,わ.ける",シ,n1
琉,"precious stone,gem,lapis lazuli","わ.かつ,わ.ける","リュウ,ル",n1
朋,"companion,friend",とも,ホウ,n1
謄,"mimeograph,copy",とも,トウ,n1
遼,distant,とも,リョウ,n1
橘,mandarin orange,たちばな,キツ,n1
嗣,"heir,succeed",たちばな,シ,n1
漱,"gargle,rinse mouth","くちすす.ぐ,くちそそ.ぐ,うがい,すす.ぐ","ソウ,シュウ,ス",n1
苑,"garden,farm,park","その,う.つ","エン,オン",n1
巽,southeast,たつみ,ソン,n1
杜,"woods,grove","もり,ふさ.ぐ,やまなし","ト,トウ,ズ",n1
畝,"furrow,thirty tsubo,ridge,rib","せ,うね","ボウ,ホ,モ,ム",n1
抄,"extract,selection,summary,copy,spread thin","せ,うね",ショウ,n1
欣,"take pleasure in,rejoice","よろこ.ぶ,よろこ.び","キン,ゴン,コン",n1
爽,"refreshing,bracing,resonant,sweet,clear","あき.らか,さわ.やか,たがう",ソウ,n1
惰,"lazy,laziness","あき.らか,さわ.やか,たがう",ダ,n1
蛮,barbarian,えびす,バン,n1
旺,"flourishing,successful,beautiful,vigorous","かがや.き,うつくし.い,さかん","オウ,キョウ,ゴウ",n1
巴,comma-design,"ともえ,うずまき",ハ,n1
禎,"happiness,blessed,good fortune,auspicious",さいわ.い,テイ,n1
較,"contrast,compare",くら.べる,"カク,コウ",n1
壱,one (in documents),ひとつ,"イチ,イツ",n1
瑠,lapis lazuli,ひとつ,"ル,リュウ",n1
稜,"angle,edge,corner,power,majesty","いつ,かど","リョウ,ロウ",n1
倭,"Yamato,ancient Japan","やまと,したが.う","ワ,イ",n1
侯,"marquis,lord,daimyo","やまと,したが.う",コウ,n1
斐,"beautiful,patterned","やまと,したが.う","ヒ,イ",n1
弧,"arc,arch,bow","やまと,したが.う",コ,n1
魁,charging ahead of others,"さきがけ,かしら",カイ,n1
鴻,"large bird,wild goose,large,great,powerful,prosperous","おおとり,ひしくい,おおがり","コウ,ゴウ",n1
於,"at,in,on,as for","おい.て,お.ける,ああ,より","オ,ヨ",n1
赳,strong and brave,"おい.て,お.ける,ああ,より",キュウ,n1
葵,hollyhock,あおい,キ,n1
禄,"fief,allowance,pension,grant,happiness","さいわ.い,ふち",ロク,n1
孟,"chief,beginning",かしら,"モウ,ボウ,ミョウ",n1
附,"affixed,attach,refer to,append","つ.ける,つ.く",フ,n1
尭,"high,far",たか.い,ギョウ,n1
但,"however,but",ただ.し,タン,n1
巳,"sign of the snake or serpent,9-11AM,sixth sign of Chinese zodiac",み,シ,n1
暢,stretch,のび.る,チョウ,n1
芋,potato,いも,ウ,n1
芹,parsley,せり,キン,n1
杏,apricot,あんず,"キョウ,アン,コウ",n1
鳳,male mythical bird,あんず,"ホウ,フウ",n1
馨,"fragrant,balmy,favourable","かお.る,かおり","ケイ,キョウ",n1
婆,"old woman,grandma,wet nurse","ばば,ばあ",バ,n1
慧,wise,さとい,"ケイ,エ",n1
彬,"refined,gentle","うるわ.しい,あき.らか","ヒン,フン",n1
匡,"correct,save,assist","すく.う,ただ.す","キョウ,オウ",n1
欽,"respect,revere,long for",つつし.む,"キン,コン",n1
倣,"emulate,imitate",なら.う,ホウ,n1
嵯,"steep,craggy,rugged",なら.う,"サ,シ",n1
綜,"rule,synthesize","おさ.める,す.べる",ソウ,n1
翠,"green,kingfisher","かわせみ,みどり",スイ,n1
鮎,"freshwater trout,smelt","あゆ,なまず","デン,ネン",n1
倹,"frugal,economy,thrifty","つま.しい,つづまやか",ケン,n1
榛,"hazelnut,filbert","はしばみ,はり","シン,ハン",n1
惣,all,すべ.て,ソウ,n1
蔦,"vine,ivy",つた,チョウ,n1
繭,cocoon,"まゆ,きぬ",ケン,n1
汰,"washing,sieving,filtering,weeding out,luxury","おご.る,にご.る,よな.げる","タ,タイ",n1
冶,"melting,smelting",い.る,ヤ,n1
瞭,clear,あきらか,リョウ,n1
采,"dice,form,appearance,take,gather,coloring","と.る,いろどり",サイ,n1
旦,"daybreak,dawn,morning","あき.らか,あきら,ただし,あさ,あした","タン,ダン",n1
虞,"fear,uneasiness,anxiety,concern,expectation,consideration","おそれ,おもんぱか.る,はか.る,うれ.える,あざむ.く,あやま.る,のぞ.む,たの.しむ",グ,n1
伎,"deed,skill","わざ,わざおぎ","ギ,キ",n1
遵,"abide by,follow,obey,learn","わざ,わざおぎ",ジュン,n1
且,"moreover,also,furthermore",か.つ,"ショ,ソ,ショウ",n1
痘,"pox,smallpox",か.つ,トウ,n1
痘,"pox,smallpox",か.つ,トウ,n1
爵,"baron,peerage,court rank",か.つ,シャク,n1
濫,"excessive,overflow,spread out","みだ.りに,みだ.りがましい",ラン,n1
弐,"II,two,second","ふた.つ,そえ","ニ,ジ",n1
塑,"model,molding",でく,ソ,n1
賦,"levy,ode,prose,poem,tribute,installment",でく,"フ,ブ",n1
且,"moreover,also,furthermore",か.つ,"ショ,ソ,ショウ",n1
耗,decrease,か.つ,"モウ,コウ",n1
謁,"audience,audience (with king)",か.つ,エツ,n1
璃,"glassy,lapis lazuli",か.つ,リ,n1
吏,"officer,an official",か.つ,リ,n1
斤,"axe,1.32 lb,catty,counter for loaves of bread,axe radical (no. 69)",か.つ,キン,n1
箇,counter for articles,か.つ,"カ,コ",n1
墾,"ground-breaking,open up farmland","は.る,ひら.く",コン,n1
隼,falcon,はやぶさ,"シュン,ジュン",n1
渚,"strand,beach,shore",なぎさ,ショ,n1
稀,"rare,phenomenal,dilute (acid)","まれ,まばら","キ,ケ",n1
芙,"lotus,Mt Fuji","まれ,まばら",フ,n1
皐,"swamp,shore",さつき,コウ,n1
雛,"chick,squab,duckling,doll","ひな,ひよこ","スウ,ス,ジュ",n1
惟,"consider,reflect,think","おも.んみる,これ,おも.うに","イ,ユイ",n1
佑,"help,assist",たす.ける,"ユウ,ウ",n1
耀,"shine,sparkle,gleam,twinkle","かがや.く,ひかり",ヨウ,n1
黛,blackened eyebrows,まゆずみ,タイ,n1
渥,"kindness,moisten","あつ.い,うるお.う",アク,n1
惇,"sincere,kind,considerate",あつ.い,"シュン,ジュン,トン",n1
脩,dried meat,"おさ.める,なが.い,ほじし",シュウ,n1
甫,"for the first time,not until",はじ.めて,"ホ,フ",n1
嬉,"glad,pleased,rejoice","うれ.しい,たの.しむ",キ,n1
蒼,"blue,pale",あお.い,ソウ,n1
暉,"shine,light",かが.やく,キ,n1
只,"only,free,in addition",ただ,シ,n1
檀,"cedar,sandlewood,spindle tree",まゆみ,"ダン,タン",n1
凱,victory song,"かちどき,やわらぐ","ガイ,カイ",n1
彗,comet,ほうき,"スイ,エ,ケイ,セイ",n1
梓,"catalpa tree,woodblock printing",あずさ,シ,n1
丑,"sign of the ox or cow,1-3AM,second sign of Chinese zodiac",うし,チュウ,n1
叶,"grant,answer","かな.える,かな.う",キョウ,n1
汐,"eventide,tide,salt water,opportunity","しお,うしお,せい",セキ,n1
絢,brilliant fabric design,"しお,うしお,せい",ケン,n1
朔,"conjunction (astronomy),first day of month,north",ついたち,サク,n1
伽,"nursing,attending,entertainer",とぎ,"カ,ガ,キャ,ギャ",n1
黎,"dark,black,many",くろ.い,"レイ,リ",n1
冴,"be clear,serene,cold,skilful","さ.える,こお.る,ひ.える","ゴ,コ",n1
萌,"show symptoms of,sprout,bud,malt","も.える,きざ.す,めばえ,きざ.し",ホウ,n1
偲,"recollect,remember",しの.ぶ,"サイ,シ",n1
允,"license,sincerity,permit","じょう,まこと.に,ゆるす",イン,n1
蒔,sow (seeds),"う.える,ま.く","シ,ジ",n1
鯉,carp,こい,リ,n1
遥,"far off,distant,long ago",はる.か,ヨウ,n1
舜,"type of morning glory,rose of Sharon,althea",はる.か,シュン,n1
狭,"cramped,narrow,contract,tight","せま.い,せば.める,せば.まる,さ","キョウ,コウ",n1
瑛,"sparkle of jewelry,crystal","せま.い,せば.める,せば.まる,さ",エイ,n1
彪,"spotted,mottled,patterned,small tiger",あや,"ヒョウ,ヒュウ",n1
卯,"sign of the hare or rabbit,fourth sign of Chinese zodiac,5-7AM,east",う,"ボウ,モウ",n1
綺,"figured cloth,beautiful",あや,キ,n1
茜,"madder,red dye,Turkey red",あかね,セン,n1
凌,"endure,keep (rain)out,stave off,tide over,defy,slight,surpass",しの.ぐ,リョウ,n1
皓,"white,clear","しろ.い,ひか.る",コウ,n1
洸,sparkling water,"しろ.い,ひか.る",コウ,n1
毬,"burr,ball","いが,まり",キュウ,n1
緋,"scarlet,cardinal","あけ,あか",ヒ,n1
鯛,"sea bream,red snapper",たい,チョウ,n1
怜,wise,"あわ.れむ,さと.い","レイ,レン,リョウ",n1
邑,"village,rural community,right village radical (no. 163)",むら,ユウ,n1
碧,"blue,green",むら,"ヘキ,ヒャク",n1
啄,"peck,pick up","ついば.む,つつ.く","タク,ツク,トク",n1
穣,"good crops,prosperity,10**28","わら,ゆたか",ジョウ,n1
酉,"west,bird,sign of the bird,5-7PM,tenth sign of Chinese zodiac,sake radical (no. 164)",とり,ユウ,n1
悌,serving our elders,とり,"テイ,ダイ",n1
柚,citron,ゆず,"ユ,ユウ,ジク",n1
倖,"happiness,luck","しあわ.せ,さいわ.い",コウ,n1
伶,actor,わざおぎ,"レイ,リョウ",n1
梧,"Chinese parasol tree,phoenix tree",あおぎり,ゴ,n1
菖,iris,あおぎり,ショウ,n1
宥,"soothe,calm,pacify","なだ.める,ゆる.す",ユウ,n1
熙,"bright,sunny,prosperous,merry","たのし.む,ひか.る,ひろ.い,よろこ.ぶ,かわ.く,あきらか,ひろ.める,ひろ.まる",キ,n1
裟,Buddhist surplice,"たのし.む,ひか.る,ひろ.い,よろこ.ぶ,かわ.く,あきらか,ひろ.める,ひろ.まる","サ,シャ",n1
澪,"water route,shipping channel",みお,レイ,n1
瑚,"ancestral offering receptacle,coral",みお,"コ,ゴ",n1
奎,"star,god of literature",みお,"ケイ,キ",n1
瑚,"ancestral offering receptacle,coral",みお,"コ,ゴ",n1
捷,"victory,fast",はや.い,"ショウ,ソウ",n1
崚,mountains towering in a row,はや.い,リョウ,n1
凪,"lull,calm,(kokuji)","なぎ,な.ぐ",リョウ,n1
颯,"sudden,quick,sound of the wind",さっ.と,"サツ,ソウ",n1
裟,Buddhist surplice,さっ.と,"サ,シャ",n1
勁,strong,つよ.い,ケイ,n1
侃,"strong,just,righteous,peace-loving",つよ.い,カン,n1
蕗,"butterbur,bog rhubarb",ふき,"ロ,ル",n1
洵,"alike,truth","の.ぶ,まこと.に","ジュン,シュン",n1
澪,"water route,shipping channel",みお,レイ,n1
竣,"end,finish","わらわ,わらべ,おわ.る","ドウ,シュン",n1
紬,pongee (a knotted silk cloth),"つむぎ,つむ.ぐ",チュウ,n1
諒,"fact,reality,understand,appreciate","あきら.か,まことに",リョウ,n1
碩,"large,great,eminent",おお.きい,セキ,n1
亦,"also,again",また,"エキ,ヤク",n1
綸,"thread,silk cloth",いと,"リン,カン",n1
莞,"smiling,reed used to cover tatami",い,カン,n1
椰,coconut tree,やし,ヤ,n1
瑶,beautiful as a jewel,たま,ヨウ,n1
晟,clear,あきらか,"セイ,ジョウ",n1
滉,deep and broad (water),ひろ.い,コウ,n1
蕗,"butterbur,bog rhubarb",ふき,"ロ,ル",n1
胤,"descendent,issue,offspring",たね,イン,n1
侃,"strong,just,righteous,peace-loving",つよ.い,カン,n1
昂,rise,"あ.がる,たか.い,たか.ぶる","コウ,ゴウ",n1
麿,"I,you,(kokuji)",まろ,"コウ,ゴウ",n1
麟,"Chinese unicorn,genius,giraffe,bright,shining",まろ,リン,n1
詢,consult with,"はか.る,まこと","ジュン,シュン",n1
晨,"morning,early","あした,とき,あさ",シン,n1
紬,pongee (a knotted silk cloth),"つむぎ,つむ.ぐ",チュウ,n1
洵,"alike,truth","の.ぶ,まこと.に","ジュン,シュン",n1
竣,"end,finish","わらわ,わらべ,おわ.る","ドウ,シュン",n1
燦,brilliant,"さん.たる,あき.らか,きらめ.く,きら.めく",サン,n1
丞,help,"すく.う,たす.ける","ジョウ,ショウ",n1
碩,"large,great,eminent",おお.きい,セキ,n1
燎,"burn,bonfire",かがりび,リョウ,n1
